Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
Python,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,19,
ML,,,checked,checked,,,,,,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,13,
collaborative,,,,checked,checked,,,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,,,,12,
statistics,,,checked,,,checked,checked,,checked,,,checked,checked,checked,checked,,checked,checked,,,,10,
presentation,checked,checked,,checked,,checked,,,checked,,,checked,checked,,,checked,checked,checked,,,,10,
team,,,,checked,,checked,,checked,,checked,,,checked,,checked,checked,checked,,checked,checked,,10,
passion,,,,checked,checked,checked,,,,checked,,,checked,checked,,checked,,checked,,checked,checked,10,
with: non-technical,checked,checked,,,,checked,,,checked,,checked,,checked,checked,,,checked,checked,,,checked,10,
communication,checked,checked,,,,,checked,,checked,,checked,checked,,,,checked,checked,checked,,checked,,10,
SQL,,checked,checked,checked,,checked,checked,,checked,,,checked,,,checked,,checked,,,,,9,
computer science,checked,,checked,,,,checked,,checked,,,,,checked,checked,,checked,,checked,,,8,
DS,,,,,,checked,checked,,checked,,checked,checked,,,checked,,checked,,checked,,,8,
mathematics,,,checked,,,,checked,,checked,,,checked,checked,checked,checked,checked,,,,,,8,
implementation,,,,checked,checked,,,,,checked,checked,checked,checked,checked,,,,,,checked,,8,
modeling,,checked,,checked,checked,,,checked,,checked,checked,,,checked,,checked,,,,,,8,
data: pipelines,,,checked,,,,checked,,checked,checked,checked,,,checked,,,,checked,,,,7,
Tableau,,checked,,checked,,checked,checked,,checked,,,checked,,,,,checked,,,,,7,
data: engineering,,,,checked,,checked,,,checked,checked,,,,,checked,checked,,checked,,,,7,
data: mining,,,,,checked,checked,,,checked,,checked,checked,,,checked,checked,,,,,,7,
product: development,,checked,,,checked,checked,checked,,checked,,,checked,,,checked,,,,,,,7,
data analysis,,,,,checked,checked,,,checked,checked,checked,,,,checked,,,checked,,,,7,
quantitative,,,checked,checked,,,checked,,checked,,,,checked,,,,checked,checked,,,,7,
engineering,,,,checked,,,checked,,checked,,,,,checked,checked,,,checked,checked,,,7,
communication: written,,,checked,,,checked,,checked,,,,,,checked,,checked,checked,checked,,,,7,
impact,,,,,,,,checked,checked,checked,,checked,,checked,,,,checked,,checked,,7,
design experiments,checked,checked,,,,,,,,checked,,,,,checked,,checked,,checked,checked,,7,
TensorFlow,checked,checked,checked,,,,,,,checked,,,,,,checked,,,,checked,checked,7,
Spark,,,checked,checked,,,checked,,checked,,,,,,checked,,checked,,,,,6,
R,,checked,,,,checked,,,checked,checked,,checked,,,,,checked,,,,,6,
leadership,,checked,,,,,checked,,checked,,,,,,checked,checked,checked,,,,,6,
data: visualization,,,,,checked,checked,,,checked,,checked,,,,,,checked,checked,,,,6,
analytical,,,,,,,checked,checked,checked,,checked,,checked,,,,,,checked,,,6,
innovative,,,,,checked,,,,checked,,,,checked,,checked,checked,,,,,checked,6,
BI,,,checked,,,,,,checked,,checked,checked,checked,,,,checked,,,,,6,
learner,,,,,checked,,,,checked,,,,checked,,,checked,checked,,,checked,,6,
2+ years DS,,,,,,,,,checked,,checked,,checked,checked,,,,checked,,,checked,6,
AI,,,checked,checked,,,,,,,,checked,,,,checked,,,,checked,checked,6,
insight,,,,,checked,,,,,,,checked,,,checked,,checked,checked,checked,,,6,
research,checked,,checked,,,,,,,,checked,,,,,checked,,,,,checked,5,
DL,,,checked,,checked,,,,,,,,,,,checked,,,,checked,checked,5,
classification,,,checked,checked,,,,,,checked,,checked,,,,checked,,,,,,5,
predictive analytics,,checked,,checked,,,,checked,,,,checked,,,checked,,,,,,,5,
degree,,checked,,,,,,,,,checked,,,,checked,,checked,checked,,,,5,
data-driven-decision-making,checked,checked,,,,checked,checked,,checked,,,,,,,,,,,,,5,
storytelling,checked,checked,,,checked,,,,,checked,,,,,,,checked,,,,,5,
PyTorch,,,checked,,,,,,,checked,,,,,,checked,,,,checked,checked,5,
NLP,,,checked,,checked,,,,,,,,,checked,,checked,,checked,,,,5,
data: integrity,,,,,checked,checked,checked,,,,,checked,,,,,,checked,,,,5,
Bachelor's,,,,,checked,,checked,,,,,checked,,checked,,,checked,,,,,5,
diversity,,,,,,checked,,checked,checked,,,,checked,,checked,,,,,,,5,
