Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
Python,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,19,
ML,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,,1,1,13,
collaborative,,,,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,,12,
statistics,,,1,,,1,1,,1,,,1,1,1,1,,1,1,,,,10,
presentation,1,1,,1,,1,,,1,,,1,1,,,1,1,1,,,,10,
team,,,,1,,1,,1,,1,,,1,,1,1,1,,1,1,,10,
passion,,,,1,1,1,,,,1,,,1,1,,1,,1,,1,1,10,
with: non-technical,1,1,,,,1,,,1,,1,,1,1,,,1,1,,,1,10,
communication,1,1,,,,,1,,1,,1,1,,,,1,1,1,,1,,10,
SQL,,1,1,1,,1,1,,1,,,1,,,1,,1,,,,,9,
computer science,1,,1,,,,1,,1,,,,,1,1,,1,,1,,,8,
DS,,,,,,1,1,,1,,1,1,,,1,,1,,1,,,8,
mathematics,,,1,,,,1,,1,,,1,1,1,1,1,,,,,,8,
implementation,,,,1,1,,,,,1,1,1,1,1,,,,,,1,,8,
modeling,,1,,1,1,,,1,,1,1,,,1,,1,,,,,,8,
data: pipelines,,,1,,,,1,,1,1,1,,,1,,,,1,,,,7,
Tableau,,1,,1,,1,1,,1,,,1,,,,,1,,,,,7,
data: engineering,,,,1,,1,,,1,1,,,,,1,1,,1,,,,7,
data: mining,,,,,1,1,,,1,,1,1,,,1,1,,,,,,7,
product: development,,1,,,1,1,1,,1,,,1,,,1,,,,,,,7,
data analysis,,,,,1,1,,,1,1,1,,,,1,,,1,,,,7,
quantitative,,,1,1,,,1,,1,,,,1,,,,1,1,,,,7,
engineering,,,,1,,,1,,1,,,,,1,1,,,1,1,,,7,
communication: written,,,1,,,1,,1,,,,,,1,,1,1,1,,,,7,
impact,,,,,,,,1,1,1,,1,,1,,,,1,,1,,7,
design experiments,1,1,,,,,,,,1,,,,,1,,1,,1,1,,7,
TensorFlow,1,1,1,,,,,,,1,,,,,,1,,,,1,1,7,
Spark,,,1,1,,,1,,1,,,,,,1,,1,,,,,6,
R,,1,,,,1,,,1,1,,1,,,,,1,,,,,6,
leadership,,1,,,,,1,,1,,,,,,1,1,1,,,,,6,
data: visualization,,,,,1,1,,,1,,1,,,,,,1,1,,,,6,
analytical,,,,,,,1,1,1,,1,,1,,,,,,1,,,6,
innovative,,,,,1,,,,1,,,,1,,1,1,,,,,1,6,
BI,,,1,,,,,,1,,1,1,1,,,,1,,,,,6,
learner,,,,,1,,,,1,,,,1,,,1,1,,,1,,6,
2+ years DS,,,,,,,,,1,,1,,1,1,,,,1,,,1,6,
AI,,,1,1,,,,,,,,1,,,,1,,,,1,1,6,
insight,,,,,1,,,,,,,1,,,1,,1,1,1,,,6,
research,1,,1,,,,,,,,1,,,,,1,,,,,1,5,
DL,,,1,,1,,,,,,,,,,,1,,,,1,1,5,
classification,,,1,1,,,,,,1,,1,,,,1,,,,,,5,
predictive analytics,,1,,1,,,,1,,,,1,,,1,,,,,,,5,
degree,,1,,,,,,,,,1,,,,1,,1,1,,,,5,
data-driven-decision-making,1,1,,,,1,1,,1,,,,,,,,,,,,,5,
storytelling,1,1,,,1,,,,,1,,,,,,,1,,,,,5,
PyTorch,,,1,,,,,,,1,,,,,,1,,,,1,1,5,
NLP,,,1,,1,,,,,,,,,1,,1,,1,,,,5,
data: integrity,,,,,1,1,1,,,,,1,,,,,,1,,,,5,
Bachelor's,,,,,1,,1,,,,,1,,1,,,1,,,,,5,
diversity,,,,,,1,,1,1,,,,1,,1,,,,,,,5,
inclusive,,,,,,,1,1,1,1,,,,,1,,,,,,,5,
