,Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS
0,Python,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19
1,ML,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,13
2,collaborative,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,12
3,statistics,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,10
4,presentation,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,10
5,team,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,10
6,passion,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,10
7,with: non-technical,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,10
8,communication,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,10
9,SQL,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,9
10,computer science,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,8
11,DS,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,8
12,mathematics,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,8
13,implementation,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,8
14,modeling,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,8
15,data: pipelines,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,7
16,Tableau,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7
17,data: engineering,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,7
18,data: mining,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,7
19,product: development,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7
20,data analysis,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,7
21,quantitative,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,7
22,engineering,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,7
23,communication: written,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,7
24,impact,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,7
25,design experiments,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,7
26,TensorFlow,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,7
27,Spark,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6
28,R,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,6
29,leadership,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,6
30,data: visualization,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,6
31,analytical,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,6
32,innovative,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,6
33,BI,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,6
34,learner,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,6
35,2+ years DS,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,6
